sample_id,split,source_dataset,mask_path,img_path
1,train,gtaV,streetViewData\train\gtaV\mask\01836.png,streetViewData\train\gtaV\img\01836.png
2,train,gtaV,streetViewData\train\gtaV\mask\00451.png,streetViewData\train\gtaV\img\00451.png
3,train,gtaV,streetViewData\train\gtaV\mask\00087.png,streetViewData\train\gtaV\img\00087.png
4,train,gtaV,streetViewData\train\gtaV\mask\02045.png,streetViewData\train\gtaV\img\02045.png
5,train,gtaV,streetViewData\train\gtaV\mask\01074.png,streetViewData\train\gtaV\img\01074.png
6,train,gtaV,streetViewData\train\gtaV\mask\01012.png,streetViewData\train\gtaV\img\01012.png
7,train,gtaV,streetViewData\train\gtaV\mask\00968.png,streetViewData\train\gtaV\img\00968.png
8,train,gtaV,streetViewData\train\gtaV\mask\00508.png,streetViewData\train\gtaV\img\00508.png
9,train,gtaV,streetViewData\train\gtaV\mask\02035.png,streetViewData\train\gtaV\img\02035.png
10,train,gtaV,streetViewData\train\gtaV\mask\00432.png,streetViewData\train\gtaV\img\00432.png
11,train,gtaV,streetViewData\train\gtaV\mask\01912.png,streetViewData\train\gtaV\img\01912.png
12,train,gtaV,streetViewData\train\gtaV\mask\02043.png,streetViewData\train\gtaV\img\02043.png
13,train,gtaV,streetViewData\train\gtaV\mask\02354.png,streetViewData\train\gtaV\img\02354.png
14,train,gtaV,streetViewData\train\gtaV\mask\01643.png,streetViewData\train\gtaV\img\01643.png
15,train,gtaV,streetViewData\train\gtaV\mask\00401.png,streetViewData\train\gtaV\img\00401.png
16,train,gtaV,streetViewData\train\gtaV\mask\01736.png,streetViewData\train\gtaV\img\01736.png
17,train,gtaV,streetViewData\train\gtaV\mask\01391.png,streetViewData\train\gtaV\img\01391.png
18,train,gtaV,streetViewData\train\gtaV\mask\00101.png,streetViewData\train\gtaV\img\00101.png
19,train,gtaV,streetViewData\train\gtaV\mask\00097.png,streetViewData\train\gtaV\img\00097.png
20,train,gtaV,streetViewData\train\gtaV\mask\00414.png,streetViewData\train\gtaV\img\00414.png
21,train,gtaV,streetViewData\train\gtaV\mask\00958.png,streetViewData\train\gtaV\img\00958.png
22,train,gtaV,streetViewData\train\gtaV\mask\00987.png,streetViewData\train\gtaV\img\00987.png
23,train,gtaV,streetViewData\train\gtaV\mask\01561.png,streetViewData\train\gtaV\img\01561.png
24,train,gtaV,streetViewData\train\gtaV\mask\01759.png,streetViewData\train\gtaV\img\01759.png
25,train,gtaV,streetViewData\train\gtaV\mask\00090.png,streetViewData\train\gtaV\img\00090.png
26,train,gtaV,streetViewData\train\gtaV\mask\01676.png,streetViewData\train\gtaV\img\01676.png
27,train,gtaV,streetViewData\train\gtaV\mask\00899.png,streetViewData\train\gtaV\img\00899.png
28,train,gtaV,streetViewData\train\gtaV\mask\01993.png,streetViewData\train\gtaV\img\01993.png
29,train,gtaV,streetViewData\train\gtaV\mask\01857.png,streetViewData\train\gtaV\img\01857.png
30,train,gtaV,streetViewData\train\gtaV\mask\01963.png,streetViewData\train\gtaV\img\01963.png
31,train,gtaV,streetViewData\train\gtaV\mask\02513.png,streetViewData\train\gtaV\img\02513.png
32,train,gtaV,streetViewData\train\gtaV\mask\01386.png,streetViewData\train\gtaV\img\01386.png
33,train,gtaV,streetViewData\train\gtaV\mask\00962.png,streetViewData\train\gtaV\img\00962.png
34,train,gtaV,streetViewData\train\gtaV\mask\01446.png,streetViewData\train\gtaV\img\01446.png
35,train,gtaV,streetViewData\train\gtaV\mask\01733.png,streetViewData\train\gtaV\img\01733.png
36,train,gtaV,streetViewData\train\gtaV\mask\01080.png,streetViewData\train\gtaV\img\01080.png
37,train,gtaV,streetViewData\train\gtaV\mask\02184.png,streetViewData\train\gtaV\img\02184.png
38,train,gtaV,streetViewData\train\gtaV\mask\02307.png,streetViewData\train\gtaV\img\02307.png
39,train,gtaV,streetViewData\train\gtaV\mask\00016.png,streetViewData\train\gtaV\img\00016.png
40,train,gtaV,streetViewData\train\gtaV\mask\02081.png,streetViewData\train\gtaV\img\02081.png
41,train,gtaV,streetViewData\train\gtaV\mask\02177.png,streetViewData\train\gtaV\img\02177.png
42,train,gtaV,streetViewData\train\gtaV\mask\00713.png,streetViewData\train\gtaV\img\00713.png
43,train,gtaV,streetViewData\train\gtaV\mask\01956.png,streetViewData\train\gtaV\img\01956.png
44,train,gtaV,streetViewData\train\gtaV\mask\01392.png,streetViewData\train\gtaV\img\01392.png
45,train,gtaV,streetViewData\train\gtaV\mask\01207.png,streetViewData\train\gtaV\img\01207.png
46,train,gtaV,streetViewData\train\gtaV\mask\02491.png,streetViewData\train\gtaV\img\02491.png
47,train,gtaV,streetViewData\train\gtaV\mask\00705.png,streetViewData\train\gtaV\img\00705.png
48,train,gtaV,streetViewData\train\gtaV\mask\00951.png,streetViewData\train\gtaV\img\00951.png
49,train,gtaV,streetViewData\train\gtaV\mask\02090.png,streetViewData\train\gtaV\img\02090.png
50,train,gtaV,streetViewData\train\gtaV\mask\01200.png,streetViewData\train\gtaV\img\01200.png
51,train,gtaV,streetViewData\train\gtaV\mask\02517.png,streetViewData\train\gtaV\img\02517.png
52,train,gtaV,streetViewData\train\gtaV\mask\00412.png,streetViewData\train\gtaV\img\00412.png
53,train,gtaV,streetViewData\train\gtaV\mask\01289.png,streetViewData\train\gtaV\img\01289.png
54,train,gtaV,streetViewData\train\gtaV\mask\00421.png,streetViewData\train\gtaV\img\00421.png
55,train,gtaV,streetViewData\train\gtaV\mask\01246.png,streetViewData\train\gtaV\img\01246.png
56,train,gtaV,streetViewData\train\gtaV\mask\02262.png,streetViewData\train\gtaV\img\02262.png
57,train,gtaV,streetViewData\train\gtaV\mask\01215.png,streetViewData\train\gtaV\img\01215.png
58,train,gtaV,streetViewData\train\gtaV\mask\01763.png,streetViewData\train\gtaV\img\01763.png
59,train,gtaV,streetViewData\train\gtaV\mask\01052.png,streetViewData\train\gtaV\img\01052.png
60,train,gtaV,streetViewData\train\gtaV\mask\02179.png,streetViewData\train\gtaV\img\02179.png
61,train,gtaV,streetViewData\train\gtaV\mask\00124.png,streetViewData\train\gtaV\img\00124.png
62,train,gtaV,streetViewData\train\gtaV\mask\02021.png,streetViewData\train\gtaV\img\02021.png
63,train,gtaV,streetViewData\train\gtaV\mask\01467.png,streetViewData\train\gtaV\img\01467.png
64,train,gtaV,streetViewData\train\gtaV\mask\01625.png,streetViewData\train\gtaV\img\01625.png
65,train,gtaV,streetViewData\train\gtaV\mask\00478.png,streetViewData\train\gtaV\img\00478.png
66,train,gtaV,streetViewData\train\gtaV\mask\02415.png,streetViewData\train\gtaV\img\02415.png
67,train,gtaV,streetViewData\train\gtaV\mask\01286.png,streetViewData\train\gtaV\img\01286.png
68,train,gtaV,streetViewData\train\gtaV\mask\00379.png,streetViewData\train\gtaV\img\00379.png
69,train,gtaV,streetViewData\train\gtaV\mask\01657.png,streetViewData\train\gtaV\img\01657.png
70,train,gtaV,streetViewData\train\gtaV\mask\01111.png,streetViewData\train\gtaV\img\01111.png
71,train,gtaV,streetViewData\train\gtaV\mask\02225.png,streetViewData\train\gtaV\img\02225.png
72,train,gtaV,streetViewData\train\gtaV\mask\01814.png,streetViewData\train\gtaV\img\01814.png
73,train,gtaV,streetViewData\train\gtaV\mask\01793.png,streetViewData\train\gtaV\img\01793.png
74,train,gtaV,streetViewData\train\gtaV\mask\02340.png,streetViewData\train\gtaV\img\02340.png
75,train,gtaV,streetViewData\train\gtaV\mask\02291.png,streetViewData\train\gtaV\img\02291.png
76,train,gtaV,streetViewData\train\gtaV\mask\01251.png,streetViewData\train\gtaV\img\01251.png
77,train,gtaV,streetViewData\train\gtaV\mask\01709.png,streetViewData\train\gtaV\img\01709.png
78,train,gtaV,streetViewData\train\gtaV\mask\00885.png,streetViewData\train\gtaV\img\00885.png
79,train,gtaV,streetViewData\train\gtaV\mask\01969.png,streetViewData\train\gtaV\img\01969.png
80,train,gtaV,streetViewData\train\gtaV\mask\00360.png,streetViewData\train\gtaV\img\00360.png
81,train,gtaV,streetViewData\train\gtaV\mask\00129.png,streetViewData\train\gtaV\img\00129.png
82,train,gtaV,streetViewData\train\gtaV\mask\01881.png,streetViewData\train\gtaV\img\01881.png
83,train,gtaV,streetViewData\train\gtaV\mask\00977.png,streetViewData\train\gtaV\img\00977.png
84,train,gtaV,streetViewData\train\gtaV\mask\02110.png,streetViewData\train\gtaV\img\02110.png
