sample_id,split,source_dataset,mask_path,img_path
2501,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000000_000019.png,streetViewData\test\cityscapes\img\aachen_000000_000019.png
2502,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000001_000019.png,streetViewData\test\cityscapes\img\aachen_000001_000019.png
2503,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000002_000019.png,streetViewData\test\cityscapes\img\aachen_000002_000019.png
2504,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000003_000019.png,streetViewData\test\cityscapes\img\aachen_000003_000019.png
2505,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000004_000019.png,streetViewData\test\cityscapes\img\aachen_000004_000019.png
2506,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000005_000019.png,streetViewData\test\cityscapes\img\aachen_000005_000019.png
2507,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000006_000019.png,streetViewData\test\cityscapes\img\aachen_000006_000019.png
2508,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000007_000019.png,streetViewData\test\cityscapes\img\aachen_000007_000019.png
2509,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000008_000019.png,streetViewData\test\cityscapes\img\aachen_000008_000019.png
2510,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000009_000019.png,streetViewData\test\cityscapes\img\aachen_000009_000019.png
2511,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000010_000019.png,streetViewData\test\cityscapes\img\aachen_000010_000019.png
2512,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000011_000019.png,streetViewData\test\cityscapes\img\aachen_000011_000019.png
2513,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000012_000019.png,streetViewData\test\cityscapes\img\aachen_000012_000019.png
2514,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000013_000019.png,streetViewData\test\cityscapes\img\aachen_000013_000019.png
2515,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000014_000019.png,streetViewData\test\cityscapes\img\aachen_000014_000019.png
2516,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000015_000019.png,streetViewData\test\cityscapes\img\aachen_000015_000019.png
2517,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000016_000019.png,streetViewData\test\cityscapes\img\aachen_000016_000019.png
2518,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000017_000019.png,streetViewData\test\cityscapes\img\aachen_000017_000019.png
2519,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000018_000019.png,streetViewData\test\cityscapes\img\aachen_000018_000019.png
2520,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000019_000019.png,streetViewData\test\cityscapes\img\aachen_000019_000019.png
2521,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000020_000019.png,streetViewData\test\cityscapes\img\aachen_000020_000019.png
2522,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000021_000019.png,streetViewData\test\cityscapes\img\aachen_000021_000019.png
2523,test,cityscapes,streetViewData\test\cityscapes\mask\aachen_000022_000019.png,streetViewData\test\cityscapes\img\aachen_000022_000019.png
