sample_id,split,source_dataset,mask_path,img_path
1,train,synscapes,streetViewData\train\synscapes\mask\377.png,streetViewData\train\synscapes\img\377.png
2,train,synscapes,streetViewData\train\synscapes\mask\1203.png,streetViewData\train\synscapes\img\1203.png
3,train,synscapes,streetViewData\train\synscapes\mask\1044.png,streetViewData\train\synscapes\img\1044.png
4,train,synscapes,streetViewData\train\synscapes\mask\565.png,streetViewData\train\synscapes\img\565.png
5,train,synscapes,streetViewData\train\synscapes\mask\1505.png,streetViewData\train\synscapes\img\1505.png
6,train,synscapes,streetViewData\train\synscapes\mask\145.png,streetViewData\train\synscapes\img\145.png
7,train,synscapes,streetViewData\train\synscapes\mask\141.png,streetViewData\train\synscapes\img\141.png
8,train,synscapes,streetViewData\train\synscapes\mask\1255.png,streetViewData\train\synscapes\img\1255.png
9,train,synscapes,streetViewData\train\synscapes\mask\556.png,streetViewData\train\synscapes\img\556.png
10,train,synscapes,streetViewData\train\synscapes\mask\1187.png,streetViewData\train\synscapes\img\1187.png
11,train,synscapes,streetViewData\train\synscapes\mask\445.png,streetViewData\train\synscapes\img\445.png
12,train,synscapes,streetViewData\train\synscapes\mask\563.png,streetViewData\train\synscapes\img\563.png
13,train,synscapes,streetViewData\train\synscapes\mask\843.png,streetViewData\train\synscapes\img\843.png
14,train,synscapes,streetViewData\train\synscapes\mask\202.png,streetViewData\train\synscapes\img\202.png
15,train,synscapes,streetViewData\train\synscapes\mask\1159.png,streetViewData\train\synscapes\img\1159.png
16,train,synscapes,streetViewData\train\synscapes\mask\287.png,streetViewData\train\synscapes\img\287.png
17,train,synscapes,streetViewData\train\synscapes\mask\1777.png,streetViewData\train\synscapes\img\1777.png
18,train,synscapes,streetViewData\train\synscapes\mask\1057.png,streetViewData\train\synscapes\img\1057.png
19,train,synscapes,streetViewData\train\synscapes\mask\1053.png,streetViewData\train\synscapes\img\1053.png
20,train,synscapes,streetViewData\train\synscapes\mask\1170.png,streetViewData\train\synscapes\img\1170.png
21,train,synscapes,streetViewData\train\synscapes\mask\1400.png,streetViewData\train\synscapes\img\1400.png
22,train,synscapes,streetViewData\train\synscapes\mask\1427.png,streetViewData\train\synscapes\img\1427.png
23,train,synscapes,streetViewData\train\synscapes\mask\193.png,streetViewData\train\synscapes\img\193.png
24,train,synscapes,streetViewData\train\synscapes\mask\307.png,streetViewData\train\synscapes\img\307.png
25,train,synscapes,streetViewData\train\synscapes\mask\1047.png,streetViewData\train\synscapes\img\1047.png
26,train,synscapes,streetViewData\train\synscapes\mask\232.png,streetViewData\train\synscapes\img\232.png
27,train,synscapes,streetViewData\train\synscapes\mask\1365.png,streetViewData\train\synscapes\img\1365.png
28,train,synscapes,streetViewData\train\synscapes\mask\518.png,streetViewData\train\synscapes\img\518.png
29,train,synscapes,streetViewData\train\synscapes\mask\396.png,streetViewData\train\synscapes\img\396.png
30,train,synscapes,streetViewData\train\synscapes\mask\491.png,streetViewData\train\synscapes\img\491.png
31,train,synscapes,streetViewData\train\synscapes\mask\987.png,streetViewData\train\synscapes\img\987.png
32,train,synscapes,streetViewData\train\synscapes\mask\1772.png,streetViewData\train\synscapes\img\1772.png
33,train,synscapes,streetViewData\train\synscapes\mask\1404.png,streetViewData\train\synscapes\img\1404.png
34,train,synscapes,streetViewData\train\synscapes\mask\1826.png,streetViewData\train\synscapes\img\1826.png
35,train,synscapes,streetViewData\train\synscapes\mask\284.png,streetViewData\train\synscapes\img\284.png
36,train,synscapes,streetViewData\train\synscapes\mask\1510.png,streetViewData\train\synscapes\img\1510.png
37,train,synscapes,streetViewData\train\synscapes\mask\690.png,streetViewData\train\synscapes\img\690.png
38,train,synscapes,streetViewData\train\synscapes\mask\800.png,streetViewData\train\synscapes\img\800.png
39,train,synscapes,streetViewData\train\synscapes\mask\101.png,streetViewData\train\synscapes\img\101.png
40,train,synscapes,streetViewData\train\synscapes\mask\598.png,streetViewData\train\synscapes\img\598.png
41,train,synscapes,streetViewData\train\synscapes\mask\684.png,streetViewData\train\synscapes\img\684.png
42,train,synscapes,streetViewData\train\synscapes\mask\1292.png,streetViewData\train\synscapes\img\1292.png
43,train,synscapes,streetViewData\train\synscapes\mask\485.png,streetViewData\train\synscapes\img\485.png
44,train,synscapes,streetViewData\train\synscapes\mask\1778.png,streetViewData\train\synscapes\img\1778.png
45,train,synscapes,streetViewData\train\synscapes\mask\1625.png,streetViewData\train\synscapes\img\1625.png
46,train,synscapes,streetViewData\train\synscapes\mask\967.png,streetViewData\train\synscapes\img\967.png
